,date,Arizona Cardinals, Atlanta Falcons, Baltimore Ravens, Buffalo Bills, Carolina Panthers, Chicago Bears, Cincinnati Bengals, Cleveland Browns, Denver Broncos, Detroit Lions, Green Bay Packers, Houston Texans, Indianapolis Colts, Jacksonville Jaguars, Kansas City Chiefs, Las Vegas Raiders, Los Angeles Chargers, Los Angeles Rams, Miami Dolphins, Minnesota Vikings, New England Patriots, New Orleans Saints, New York Giants, New York Jets, Philadelphia Eagles, Pittsburgh Steelers, San Francisco 49ers, Seattle Seahawks, Tampa Bay Buccaneers, Tennessee Titans, Washington Commanders, Dallas Cowboys
0,2020-09-10,5,5,3,2,10,7,4,2,7,9,3,33,5,9,18,6,8,8,5,10,8,3,9,6,8,12,12,6,3,5,4,8
1,2020-09-11,5,6,4,2,11,7,4,2,6,8,3,100,5,7,53,8,9,9,6,11,9,3,9,5,8,12,12,6,3,5,5,9
2,2020-09-12,6,5,3,2,11,7,4,2,5,9,3,8,5,6,5,7,9,9,5,13,10,3,9,6,11,14,14,7,3,4,5,10
3,2020-09-13,50,50,28,14,98,67,55,18,12,72,27,6,34,50,5,52,30,30,40,100,100,36,22,33,77,100,100,50,43,8,43,38
4,2020-09-14,20,11,6,4,23,15,22,4,16,17,5,4,10,15,3,17,96,96,9,17,24,11,46,10,16,31,31,12,16,13,12,87
5,2020-09-15,6,5,3,2,10,8,7,3,65,8,3,3,5,7,2,8,10,10,4,7,9,3,85,8,7,11,11,6,3,51,6,11
6,2020-09-16,5,4,2,2,7,6,6,2,6,6,2,2,4,6,2,6,5,5,3,6,7,3,10,5,6,10,10,5,2,5,4,7
7,2020-09-17,4,4,2,1,7,5,22,8,4,5,2,2,3,5,2,6,5,5,3,6,6,2,7,5,5,9,9,5,2,4,3,6
8,2020-09-18,4,5,2,2,8,6,98,36,5,6,2,3,3,6,2,6,5,5,3,6,7,2,7,5,6,8,8,6,2,3,3,7
9,2020-09-19,4,5,3,2,8,7,6,3,5,7,3,3,3,5,3,7,6,6,3,8,8,2,9,5,8,10,10,6,2,4,3,8
10,2020-09-20,33,100,19,19,74,54,6,3,44,57,24,26,27,36,25,16,39,39,32,59,35,7,61,31,62,71,71,24,23,24,22,100
11,2020-09-21,12,27,7,4,27,12,4,2,10,14,5,9,7,10,8,24,12,12,6,14,94,9,22,10,12,27,27,70,6,6,7,23
12,2020-09-22,5,9,3,2,13,6,3,2,6,7,3,3,4,8,3,100,9,9,4,7,10,36,13,6,6,15,15,9,2,4,3,9
13,2020-09-23,4,6,2,2,9,6,3,1,4,6,2,3,4,11,2,10,5,5,5,6,7,3,9,5,6,10,10,6,1,3,2,7
14,2020-09-24,4,5,3,2,8,6,3,1,4,6,2,3,3,34,2,7,5,5,13,6,6,2,7,5,5,9,9,5,1,3,3,7
